iter	Passed	Remaining
404	6119	8990
405	6132	8972
406	6144	8953
407	6159	8937
408	6172	8919
409	6185	8900
410	6198	8883
411	6212	8866
412	6226	8849
413	6241	8833
414	6256	8818
415	6271	8803
416	6286	8789
417	6301	8774
418	6316	8758
419	6331	8743
420	6347	8729
421	6364	8716
422	6378	8700
423	6393	8684
424	6407	8668
425	6421	8652
426	6434	8635
427	6448	8618
428	6462	8601
429	6477	8586
430	6492	8570
431	6506	8554
432	6520	8538
433	6535	8523
434	6549	8506
435	6564	8491
436	6578	8475
437	6592	8458
438	6606	8443
439	6622	8428
440	6636	8412
441	6651	8396
442	6666	8382
443	6681	8366
444	6695	8350
445	6709	8334
446	6724	8319
447	6738	8302
448	6753	8287
449	6768	8272
450	6781	8255
451	6795	8239
452	6811	8225
453	6828	8211
454	6842	8195
455	6856	8179
456	6870	8163
457	6885	8147
458	6898	8131
459	6912	8115
460	6926	8098
461	6941	8083
462	6956	8068
463	6971	8053
464	6987	8039
465	7002	8024
466	7016	8007
467	7029	7990
468	7041	7972
469	7054	7955
470	7067	7938
471	7079	7919
472	7091	7901
473	7103	7883
474	7116	7865
475	7130	7849
476	7143	7832
477	7155	7814
478	7167	7796
479	7180	7778
480	7192	7760
481	7205	7743
482	7218	7726
483	7231	7709
484	7246	7695
485	7259	7677
486	7274	7662
487	7289	7648
488	7304	7633
489	7318	7616
490	7333	7601
491	7347	7586
492	7361	7570
493	7375	7554
494	7390	7539
495	7405	7524
496	7419	7508
497	7433	7493
498	7447	7477
499	7463	7463
500	7480	7450
501	7499	7440
502	7517	7427
503	7535	7416
504	7552	7402
505	7568	7389
506	7586	7377
507	7604	7365
508	7620	7351
509	7638	7338
510	7655	7325
511	7672	7312
512	7688	7298
513	7704	7284
514	7720	7271
515	7739	7259
516	7755	7245
517	7771	7231
518	7787	7217
519	7803	7203
520	7820	7189
521	7835	7174
522	7850	7160
523	7866	7146
524	7881	7131
525	7900	7119
526	7915	7104
527	7930	7088
528	7943	7072
529	7958	7057
530	7973	7042
531	7989	7027
532	8003	7012
533	8018	6997
534	8034	6983
535	8050	6969
536	8065	6953
537	8078	6937
538	8093	6922
539	8108	6907
540	8123	6891
541	8137	6876
542	8152	6861
543	8167	6846
544	8183	6832
545	8198	6817
546	8213	6802
547	8227	6786
548	8244	6773
549	8260	6758
550	8274	6742
551	8289	6727
552	8303	6712
553	8318	6697
554	8334	6682
555	8347	6666
556	8362	6651
557	8375	6634
558	8389	6618
559	8402	6601
560	8415	6585
561	8428	6569
562	8442	6552
563	8455	6536
564	8469	6520
565	8484	6505
566	8498	6490
567	8512	6474
568	8525	6457
569	8538	6441
570	8551	6424
571	8563	6407
572	8575	6390
573	8588	6374
574	8602	6358
575	8616	6342
576	8632	6328
577	8646	6312
578	8660	6297
579	8675	6282
580	8689	6266
581	8703	6251
582	8718	6235
583	8732	6220
584	8747	6205
585	8761	6189
586	8776	6174
587	8790	6159
588	8804	6143
589	8820	6129
590	8834	6114
591	8849	6098
592	8863	6083
593	8877	6068
594	8891	6052
595	8904	6035
596	8917	6019
597	8931	6004
598	8944	5987
599	8956	5970
600	8970	5955
601	8984	5939
602	8995	5922
603	9007	5905
604	9019	5888
605	9031	5872
606	9043	5855
607	9055	5838
608	9068	5822
609	9080	5805
610	9092	5788
611	9105	5772
612	9118	5756
613	9132	5741
614	9146	5725
615	9159	5709
616	9172	5693
617	9184	5677
618	9197	5660
619	9211	5645
620	9225	5630
621	9239	5615
622	9253	5599
623	9267	5584
624	9282	5569
625	9297	5554
626	9311	5539
627	9324	5523
628	9338	5508
629	9350	5491
630	9364	5476
631	9379	5461
632	9394	5446
633	9409	5431
634	9424	5416
635	9438	5402
