iter	Logloss
221	0.5281445945
222	0.5281236768
223	0.5280882612
224	0.5280377546
225	0.5280022801
226	0.5279407065
227	0.5279304548
228	0.5278721204
229	0.5278456007
230	0.5278044608
231	0.5277842843
232	0.5277768162
233	0.5277358377
234	0.5276965179
235	0.5276410065
236	0.5275921631
237	0.5275639038
238	0.5275277514
239	0.5274866704
240	0.527473441
241	0.5274040854
242	0.5273735766
243	0.5273138624
244	0.5272813808
245	0.5272489798
246	0.527206022
247	0.5271554238
248	0.5271148769
249	0.5270563137
250	0.5270058485
251	0.5269660884
252	0.5269148015
253	0.5268874446
254	0.5268353969
255	0.5267973088
256	0.526789311
257	0.5267563062
258	0.5267093462
259	0.5266410348
260	0.5266014448
261	0.526571191
262	0.526531165
263	0.5264798192
264	0.5264465441
265	0.5264068974
266	0.5263816027
267	0.52633238
268	0.5262931911
269	0.5262583771
270	0.5262199075
271	0.526175681
272	0.5261203374
273	0.5260866023
274	0.5260439998
275	0.5260140446
276	0.5259746312
277	0.5259281006
278	0.5259081552
279	0.5258932212
280	0.5258371517
281	0.5257901393
282	0.5257282998
283	0.525684651
284	0.5256496495
285	0.525642092
286	0.5255718297
287	0.5255137373
288	0.5254830148
289	0.5254756121
290	0.5254088702
291	0.5253744398
292	0.5253504639
293	0.5253167245
294	0.525298233
295	0.5252161037
296	0.5251780025
297	0.5251548353
298	0.5251237139
299	0.5250947811
300	0.5250287585
301	0.5249785876
302	0.5249400896
303	0.5248999765
304	0.5248913269
305	0.5248871024
306	0.5248319768
307	0.5248261828
308	0.5247737274
309	0.5247404066
310	0.5247105168
311	0.5246684723
312	0.5246108725
313	0.5245850939
314	0.5245365601
315	0.5245131291
316	0.5244664743
317	0.5244210227
318	0.5243989236
319	0.5243755646
320	0.5243275321
321	0.5243000793
322	0.5242876783
323	0.5242520381
324	0.5242198922
325	0.5241663644
326	0.5241313237
327	0.5241040758
328	0.5240612815
329	0.524031226
330	0.523999527
331	0.5239616525
332	0.523934542
333	0.5238873553
334	0.5238508453
335	0.5237844216
336	0.5237679749
337	0.5237420066
338	0.5236889648
339	0.5236427721
340	0.5236118687
341	0.5235770176
342	0.5235390625
343	0.5234993526
344	0.5234580645
345	0.5234533539
346	0.5234098031
347	0.5233719548
348	0.5233313969
349	0.5232695727
350	0.523240496
351	0.523202301
352	0.5231742161
353	0.523147134
354	0.5231171744
355	0.5230732574
356	0.5230535932
357	0.5230105242
358	0.5230062866
359	0.5229664089
360	0.5229409485
361	0.522903353
362	0.5228854871
363	0.5228827754
364	0.5228584551
365	0.5228460454
366	0.5228131038
367	0.5227873012
368	0.5227565765
369	0.5227147522
370	0.5226996482
371	0.5226433302
372	0.5226109706
373	0.5225826634
374	0.5225607801
375	0.5225459268
376	0.5225190059
377	0.5224881461
378	0.5224636645
379	0.5224403469
380	0.5224149061
381	0.5223792659
382	0.5223358372
383	0.5223104117
384	0.5223071311
385	0.5222584991
386	0.5222008929
387	0.5221656124
388	0.5221561083
389	0.5221497498
390	0.5221070469
391	0.5220739899
392	0.5220390647
393	0.5219989929
394	0.5219846017
395	0.5219501234
396	0.5219182478
397	0.5218757608
398	0.5218310176
399	0.5217823007
400	0.5217475586
401	0.5217026324
402	0.521661499
403	0.5216390272
404	0.5216149118
405	0.521594696
406	0.52157724
407	0.5215387355
408	0.5215150495
409	0.5214851379
410	0.5214653713
411	0.5214084538
412	0.5213600137
413	0.5213444127
414	0.5213139539
415	0.5212817732
416	0.5212411216
417	0.5212028002
418	0.5211725507
419	0.5211332245
420	0.521092623
421	0.5210653381
422	0.5210311454
423	0.5209957493
424	0.5209540057
425	0.5209388384
426	0.5209150957
427	0.5208829476
428	0.5208563516
429	0.5208205719
430	0.5207576294
431	0.520733017
432	0.5207163086
433	0.5206942771
434	0.5206631971
435	0.5206253989
436	0.5205937238
437	0.5205493011
438	0.5205067836
439	0.5204656525
440	0.5204216112
441	0.5203891776
442	0.5203608704
443	0.5203076324
444	0.5202649275
445	0.5202437025
446	0.5201971872
447	0.5201795458
448	0.5201537781
449	0.5201204158
450	0.5201080976
451	0.5200890699
452	0.5200296696
453	0.5199831608
454	0.51995641
455	0.5199174412
456	0.5198590131
457	0.5198283888
458	0.5198246373
459	0.5198127441
460	0.519778292
461	0.5197609994
462	0.5197321734
463	0.5197086443
464	0.5196721148
465	0.5196505214
466	0.5196476637
467	0.519624054
468	0.5196093706
469	0.5195885053
470	0.5195492314
471	0.5195415322
472	0.5195199127
473	0.5195033373
474	0.5194751347
475	0.5194629604
476	0.5194242336
477	0.5194110064
478	0.5193899885
479	0.519381219
480	0.5193436737
481	0.5192510376
482	0.5192179653
483	0.5191885093
484	0.5191663666
485	0.5191271624
486	0.5190742122
487	0.5190419835
488	0.5190104479
489	0.5189619271
490	0.5189437844
491	0.5189418117
492	0.5189028364
493	0.5188808114
494	0.5188202972
495	0.5187858276
496	0.5187308895
497	0.5187118508
498	0.5186981245
499	0.5186552625
500	0.5186196354
501	0.5185697261
502	0.5185459617
503	0.51850657
504	0.5184562116
505	0.5184517648
506	0.5184446455
507	0.5184059317
508	0.5183904092
509	0.5183545968
510	0.5182888205
511	0.5182538125
512	0.5182131086
513	0.5181644549
514	0.5181343667
515	0.5181141575
516	0.518081652
517	0.518025201
518	0.5179847478
519	0.5179556667
520	0.5179252951
521	0.5178976658
522	0.5178756932
523	0.5178459276
524	0.5178436563
525	0.5178052281
526	0.5177966963
527	0.5177609536
528	0.5177333919
529	0.5177111446
530	0.5176892722
531	0.5176644701
532	0.517658541
533	0.5176359994
534	0.5176038818
535	0.5175699267
536	0.5175515246
537	0.5175200936
538	0.5174591936
539	0.5174201202
540	0.5174029563
541	0.5173614262
542	0.5173406764
543	0.5173157741
544	0.5172805067
545	0.5172658953
546	0.5172404807
547	0.51718076
548	0.5171760145
549	0.517153486
550	0.5171250371
551	0.5170754809
552	0.5170536891
553	0.5170187901
554	0.5169850028
555	0.5169634574
556	0.5169463327
557	0.5169353725
558	0.5168887591
559	0.5168732714
560	0.5168590022
561	0.5168407331
562	0.5168393184
563	0.5168337577
564	0.516794717
565	0.516759504
566	0.5167172198
567	0.5166801649
568	0.5166787807
569	0.5166650412
570	0.5166467939
571	0.5166447536
572	0.5166430599
573	0.5166239079
574	0.5165957642
575	0.5165479911
576	0.5165268533
577	0.5165141689
578	0.5164981995
579	0.5164641244
580	0.5164230085
581	0.5163830479
582	0.5163667079
583	0.5163364607
584	0.5162953753
585	0.5162784337
586	0.5162546278
587	0.5162336317
588	0.5162090999
589	0.5161765856
590	0.5161409084
591	0.5161076922
592	0.5160863408
593	0.5160535998
594	0.5160182452
595	0.5159960523
596	0.5159567457
597	0.5159240178
598	0.5158943394
599	0.5158892648
600	0.5158714556
601	0.5158487723
602	0.5158474579
603	0.5158218776
604	0.5158112466
605	0.5157831116
606	0.5157621918
607	0.5157423728
608	0.5157228633
609	0.5156820243
610	0.5156758815
611	0.5156526446
612	0.5156251504
613	0.5156145935
614	0.5155529284
615	0.5155373688
616	0.5155038736
617	0.5155014452
618	0.5154809788
619	0.5154482138
620	0.5154267055
621	0.5153791787
622	0.5153491625
623	0.5153267909
624	0.5153112553
625	0.5152796435
626	0.5152634234
627	0.5152439161
628	0.5152208056
629	0.5152195217
630	0.5151976406
631	0.515168348
632	0.5151453291
633	0.515115254
634	0.5150941533
635	0.5150611398
636	0.5150262647
637	0.5150016414
638	0.514986084
639	0.5149621015
640	0.5149453757
641	0.5149060298
642	0.5148727068
643	0.5148168139
644	0.5147947954
645	0.5147616948
646	0.514744751
647	0.5147302987
648	0.5147052656
649	0.5146611938
650	0.5146100224
651	0.5145760171
652	0.5145354287
653	0.5145142648
654	0.5145054496
655	0.5144554552
656	0.5144167393
657	0.5143909694
658	0.5143594317
659	0.5143360203
660	0.5143108521
661	0.5142914777
662	0.514258425
663	0.5142547804
664	0.5142246922
665	0.5141963348
666	0.5141786281
667	0.5141609562
668	0.5141597355
669	0.5141343515
670	0.5141064758
671	0.5140698264
672	0.5140432608
673	0.5140229536
674	0.5140051531
675	0.513965101
676	0.5139393311
677	0.5139110478
678	0.5138761204
679	0.513832356
680	0.5138281991
681	0.5138132978
682	0.5137847944
683	0.5137518158
684	0.5137487815
685	0.5137366725
686	0.5137077462
687	0.5136887033
688	0.5136440931
689	0.5136233303
690	0.5135973206
691	0.5135577196
692	0.5135373426
693	0.5134948055
694	0.5134634051
695	0.5134366826
696	0.5133915928
697	0.5133509543
698	0.5133330318
699	0.5132880271
700	0.5132720075
701	0.5132252873
702	0.5131900504
703	0.5131819807
704	0.5131529149
705	0.5130999712
706	0.5130911364
707	0.5130898525
708	0.5130307116
709	0.5130137133
710	0.512987612
711	0.5129591522
712	0.5129281529
713	0.5128935939
714	0.5128492519
715	0.5128310351
716	0.5127918265
717	0.5127640839
718	0.5127285636
719	0.512707077
720	0.5127056144
721	0.5126842412
722	0.5126461356
723	0.5126344343
724	0.512627642
725	0.5125980443
726	0.5125650351
727	0.5125289939
728	0.5125241023
729	0.5124910562
730	0.5124632111
731	0.5124511348
732	0.5124200265
733	0.5123885542
734	0.5123463048
735	0.5123033622
736	0.5122594474
737	0.5122169364
738	0.5121961452
739	0.512161111
740	0.5121272518
741	0.5121225782
742	0.5120966187
743	0.5120691289
744	0.5120356598
745	0.5120192784
746	0.5119947444
747	0.5119738639
748	0.5119447414
749	0.5119040397
750	0.5118741455
751	0.5118597565
752	0.511830464
753	0.5117919072
754	0.51177291
755	0.5117397178
756	0.5117167882
757	0.511701222
758	0.511654868
759	0.5116389204
760	0.511621848
761	0.5116031865
762	0.5115716509
763	0.5115369568
764	0.5115253514
765	0.5115157427
766	0.5114862867
767	0.5114659773
768	0.51144984
769	0.5114072287
770	0.5113640115
771	0.511341204
772	0.5113173545
773	0.5112867017
774	0.5112577166
775	0.511238327
776	0.5111982596
777	0.5111808319
778	0.5111751426
779	0.5111433236
780	0.5111321586
781	0.5111135298
782	0.5111054905
783	0.5110769108
784	0.5110305416
785	0.5110045689
786	0.5109705157
787	0.5109386815
788	0.5109072026
789	0.5108748322
790	0.5108325849
791	0.5108103812
792	0.5108013436
793	0.5107597351
794	0.5107251238
795	0.5107082214
796	0.5106851654
797	0.5106594543
798	0.5106266022
799	0.5106078862
800	0.5105732836
801	0.51055079
802	0.5105385001
803	0.5105219596
804	0.5105118561
805	0.5104942387
806	0.5104757538
807	0.5104613931
808	0.5104460558
809	0.5104330205
810	0.510394553
811	0.5103716343
812	0.5103406873
813	0.5103219648
814	0.5103140826
815	0.5102894353
816	0.5102650844
817	0.5102440142
818	0.5102281843
819	0.5102066018
820	0.5101860395
821	0.5101777518
822	0.5101621966
823	0.5101384713
824	0.5101281019
825	0.510101375
826	0.5100857152
827	0.5100622341
828	0.5100572706
829	0.5100421971
830	0.510006509
831	0.5099997471
832	0.5099736372
833	0.5099533735
834	0.5099367392
835	0.5099001421
836	0.5098859711
837	0.5098605652
838	0.5098199528
839	0.5098039834
840	0.5097832685
841	0.5097689776
842	0.5097676871
843	0.5097414442
844	0.5097255402
845	0.5096930847
846	0.5096679927
847	0.5096659568
848	0.5096538565
849	0.5096218022
850	0.5096003353
851	0.5095942492
852	0.5095543409
853	0.5095335977
854	0.5095120675
855	0.5094838191
856	0.5094643315
857	0.5094505245
858	0.5094306815
859	0.509382309
860	0.5093618578
861	0.5093275757
862	0.509313943
863	0.50928302
864	0.5092683432
865	0.5092432534
866	0.5092290911
867	0.5092204001
868	0.5091899196
869	0.5091654576
870	0.5091405443
871	0.5091009892
872	0.5090630798
873	0.5090535845
874	0.5089909079
875	0.5089797232
876	0.5089587729
877	0.5089471196
878	0.5089423545
879	0.5089288548
880	0.5089120963
881	0.5088861258
882	0.5088835253
883	0.5088490688
884	0.5088330296
885	0.5087876173
886	0.5087602801
887	0.508719441
888	0.508697028
889	0.5086727317
890	0.5086402806
891	0.5086211962
892	0.5086003374
893	0.5085797708
894	0.5085450483
895	0.5085250004
896	0.5084948382
897	0.5084609593
898	0.5084468035
899	0.5084346313
900	0.5083985726
901	0.5083596802
902	0.5083408138
903	0.5083148063
904	0.5082913709
905	0.5082595694
906	0.5082260764
907	0.5082156176
908	0.5082021768
909	0.5081505824
910	0.5081072845
911	0.508051433
912	0.5080102147
913	0.5080043466
914	0.5079762442
915	0.5079584721
916	0.5079180777
917	0.5078963405
918	0.5078540192
919	0.5078344465
920	0.5078102373
921	0.5077797873
922	0.5077570299
923	0.5077410126
924	0.5077174159
925	0.5077073713
926	0.507696943
927	0.5076631034
928	0.5076358163
929	0.5076090589
930	0.5075836116
931	0.5075754678
932	0.507535577
933	0.5075089177
934	0.5074845298
935	0.507464325
936	0.5074408613
937	0.5074050533
938	0.5073780648
939	0.5073423658
940	0.5072924434
941	0.5072793819
942	0.5072333091
943	0.507212071
944	0.5071805921
945	0.5071741638
946	0.5071438163
947	0.5071294556
948	0.5071106153
949	0.5070752367
950	0.5070692357
951	0.5070372271
952	0.5070052795
953	0.5069659576
954	0.506932288
955	0.5069237758
956	0.5068731624
957	0.5068584726
958	0.5068297424
959	0.5068273512
960	0.5067995845
961	0.5067929666
962	0.5067897252
963	0.5067840576
964	0.5067396284
965	0.5067333156
966	0.506696616
967	0.5066670423
968	0.5066647295
969	0.5066341182
970	0.5066035352
971	0.5066030077
972	0.5065986219
973	0.5065958819
974	0.5065573839
975	0.5065532379
976	0.5065095149
977	0.5064742083
978	0.5064446673
979	0.5064196559
980	0.5063996102
981	0.506378612
982	0.5063776746
983	0.5063630001
984	0.5063332585
985	0.5063278394
986	0.5063082188
987	0.5062896402
988	0.5062799792
989	0.5062552992
990	0.5062498954
991	0.5062279859
992	0.506206774
993	0.5061842412
994	0.5061745409
995	0.5061438599
996	0.5061237401
997	0.5060929326
998	0.5060787005
999	0.5060682722
